,ZHVI,Metro,City,zip,State,zhvi_score
0,1987683.0,New York-Newark-Jersey City,New York,10025,NY,1
1,659740.0,Chicago-Naperville-Elgin,Chicago,60657,IL,6
2,3239923.0,New York-Newark-Jersey City,New York,10023,NY,1
3,356643.0,Houston-The Woodlands-Sugar Land,Katy,77494,TX,9
4,761461.0,Chicago-Naperville-Elgin,Chicago,60614,IL,5
5,248845.0,Houston-The Woodlands-Sugar Land,Katy,77449,TX,10
6,1574445.0,New York-Newark-Jersey City,New York,10002,NY,1
7,242078.0,Houston-The Woodlands-Sugar Land,Houston,77084,TX,10
8,175120.0,El Paso,El Paso,79936,TX,10
9,465790.0,Chicago-Naperville-Elgin,Chicago,60640,IL,8
10,880624.0,New York-Newark-Jersey City,New York,11226,NY,4
11,549775.0,New York-Newark-Jersey City,New York,10467,NY,7
12,456290.0,Austin-Round Rock,Pflugerville,78660,TX,8
13,2195010.0,San Francisco-Oakland-Hayward,San Francisco,94109,CA,1
14,2553693.0,New York-Newark-Jersey City,New York,10016,NY,1
15,353410.0,Nashville-Davidson--Murfreesboro--Franklin,Nashville,37013,TN,9
16,398559.0,The Villages,The Villages,32162,FL,9
17,555149.0,Chicago-Naperville-Elgin,Chicago,60647,IL,7
18,2191650.0,New York-Newark-Jersey City,New York,11201,NY,1
19,781102.0,New York-Newark-Jersey City,New York,11235,NY,5
20,961745.0,New York-Newark-Jersey City,New York,11375,NY,3
21,867494.0,Los Angeles-Long Beach-Anaheim,Hawthorne,90250,CA,4
22,334820.0,San Antonio-New Braunfels,New Braunfels,78130,TX,10
23,419815.0,Nashville-Davidson--Murfreesboro--Franklin,Nashville,37211,TN,8
24,1698818.0,New York-Newark-Jersey City,New York,10029,NY,1
25,1484023.0,New York-Newark-Jersey City,New York,10009,NY,1
26,306351.0,Houston-The Woodlands-Sugar Land,League City,77573,TX,10
27,541357.0,Chicago-Naperville-Elgin,Chicago,60618,IL,7
28,302226.0,Houston-The Woodlands-Sugar Land,Pearland,77584,TX,10
29,3491212.0,New York-Newark-Jersey City,New York,10011,NY,1
30,859082.0,Washington-Arlington-Alexandria,Washington,20002,DC,4
31,2399376.0,New York-Newark-Jersey City,New York,10128,NY,1
32,328366.0,Charlotte-Concord-Gastonia,Charlotte,28269,NC,10
33,513197.0,Austin-Round Rock,Cedar Park,78613,TX,7
34,294476.0,Houston-The Woodlands-Sugar Land,Cypress,77433,TX,10
35,162069.0,McAllen-Edinburg-Mission,Mission,78572,TX,10
36,226978.0,Atlanta-Sandy Springs-Roswell,Riverdale,30349,GA,10
37,229211.0,El Paso,El Paso,79912,TX,10
38,302581.0,Dallas-Fort Worth-Arlington,Grand Prairie,75052,TX,10
39,597772.0,San Francisco-Oakland-Hayward,Pittsburg,94565,CA,7
40,234198.0,Clarksville,Clarksville,37042,TN,10
41,1110193.0,New York-Newark-Jersey City,New York,11206,NY,1
42,214702.0,Oklahoma City,Yukon,73099,OK,10
43,2132266.0,Los Angeles-Long Beach-Anaheim,Los Angeles,90046,CA,1
44,1143948.0,Washington-Arlington-Alexandria,Washington,20009,DC,1
45,292731.0,Houston-The Woodlands-Sugar Land,Cypress,77429,TX,10
46,250508.0,San Antonio-New Braunfels,San Antonio,78245,TX,10
47,350086.0,Houston-The Woodlands-Sugar Land,Sugar Land,77479,TX,9
48,520604.0,New York-Newark-Jersey City,New York,10462,NY,7
49,468786.0,New York-Newark-Jersey City,New York,10456,NY,8
50,562539.0,Chicago-Naperville-Elgin,Chicago,60613,IL,7
51,318438.0,Atlanta-Sandy Springs-Roswell,Lawrenceville,30044,GA,10
52,3611499.0,New York-Newark-Jersey City,New York,10019,NY,1
53,279267.0,St. Louis,Saint Peters,63376,MO,10
54,3475368.0,New York-Newark-Jersey City,New York,10003,NY,1
55,425194.0,Charlotte-Concord-Gastonia,Charlotte,28277,NC,8
56,486280.0,Chicago-Naperville-Elgin,Chicago,60625,IL,8
57,347414.0,Atlanta-Sandy Springs-Roswell,Lawrenceville,30043,GA,10
58,973800.0,New York-Newark-Jersey City,New York,11230,NY,3
59,561371.0,New York-Newark-Jersey City,New York,11212,NY,7
60,258087.0,Houston-The Woodlands-Sugar Land,Houston,77036,TX,10
61,646151.0,New York-Newark-Jersey City,New York,10463,NY,6
62,256220.0,Chicago-Naperville-Elgin,Chicago,60629,IL,10
63,1187239.0,New York-Newark-Jersey City,New York,11209,NY,1
64,348894.0,Atlanta-Sandy Springs-Roswell,Duluth,30096,GA,10
65,1177825.0,New York-Newark-Jersey City,New York,11221,NY,1
66,1277777.0,New York-Newark-Jersey City,Hoboken,7030,NJ,1
67,1294309.0,Seattle-Tacoma-Bellevue,Redmond,98052,WA,1
68,442044.0,Atlanta-Sandy Springs-Roswell,Suwanee,30024,GA,8
69,854141.0,Chicago-Naperville-Elgin,Chicago,60610,IL,4
70,1195869.0,Austin-Round Rock,Austin,78704,TX,1
71,345059.0,Houston-The Woodlands-Sugar Land,Houston,77077,TX,10
72,445505.0,Phoenix-Mesa-Scottsdale,Phoenix,85032,AZ,8
73,270792.0,Houston-The Woodlands-Sugar Land,Spring,77379,TX,10
74,418863.0,Dallas-Fort Worth-Arlington,Dallas,75287,TX,8
75,2606724.0,New York-Newark-Jersey City,New York,10024,NY,1
76,381227.0,Austin-Round Rock,San Marcos,78666,TX,9
77,254759.0,Baltimore-Columbia-Towson,Parkville,21234,MD,10
78,1217765.0,Miami-Fort Lauderdale-West Palm Beach,Sunny Isles Beach,33160,FL,1
79,312523.0,Virginia Beach-Norfolk-Newport News,Virginia Beach,23464,VA,10
80,419800.0,Orlando-Kissimmee-Sanford,Winter Garden,34787,FL,8
81,150752.0,Brownsville-Harlingen,Brownsville,78521,TX,10
82,503862.0,New York-Newark-Jersey City,Lakewood Township,8701,NJ,7
83,367061.0,Dallas-Fort Worth-Arlington,Dallas,75243,TX,9
84,770452.0,New York-Newark-Jersey City,New York,11214,NY,5
85,331973.0,Charlotte-Concord-Gastonia,Concord,28027,NC,10
86,584235.0,New York-Newark-Jersey City,New York,11207,NY,7
